node_id,categoría
1232,alberto
1233,alberto
1234,alberto
1235,alberto
1236,alberto
1237,alberto
1238,alberto
1239,alberto
1240,alberto
1241,alberto
1242,alberto
1243,alberto
1244,alberto
1245,alberto
1246,alberto
1247,alberto
1248,alberto
1249,alberto
1250,alberto
1251,alberto
1252,alberto
1253,alberto
1254,alberto
1255,alberto
1256,alberto
1257,alberto
1258,alberto
1259,alberto
1260,alberto
1261,alberto
1262,alberto
1263,alberto
1264,alberto
1265,alberto
1266,alberto
1267,alberto
1268,alberto
1269,alberto
1270,alberto
1271,alberto
1272,alberto
1273,alberto
1274,alberto
1275,alberto
1276,alberto
1277,alberto
1278,alberto
1279,alberto
1280,alberto
1281,alberto
1282,alberto
1283,alberto
1284,alberto
1285,alberto
1286,alberto
1287,alberto
1288,alberto
1289,alberto
1290,alberto
1291,alberto
1292,alberto
1293,alberto
1294,alberto
1295,alberto
1296,alberto
1297,alberto
1298,alberto
1299,alberto
1300,alberto
1301,alberto
1302,alberto
1303,alberto
1304,alberto
1305,alberto
1306,alberto
1307,alberto
1308,alberto
1309,alberto
1310,alberto
1311,alberto
1312,alberto
1313,alberto
1314,alberto
1315,alberto
1316,alberto
1317,alberto
1318,alberto
1319,alberto
1320,alberto
1321,alberto
1322,alberto
1323,alberto
1324,alberto
1325,alberto
1326,alberto
1327,alberto
1328,alberto
1329,alberto
1330,alberto
1331,alberto
1332,alberto
1333,alberto
1334,alberto
1335,alberto
1336,alberto
1337,alberto
1338,alberto
1339,alberto
1340,alberto
1341,alberto
1342,alberto
1343,alberto
1344,alberto
1345,alberto
1346,alberto
1347,alberto
1348,alberto
1349,alberto
1350,alberto
1351,alberto
1352,alberto
1353,alberto
1354,alberto
1355,alberto
1356,alberto
1357,alberto
1358,alberto
1359,alberto
1360,alberto
1361,alberto
1362,alberto
1363,alberto
1364,alberto
1365,alberto
1366,alberto
1367,alberto
1368,alberto
1369,alberto
1370,alberto
1371,alberto
1372,alberto
1373,alberto
1374,alberto
1375,alberto
1376,alberto
1377,alberto
1378,alberto
1379,alberto
1380,alberto
1381,alberto
1382,alberto
1383,alberto
1384,alberto
1385,alberto
1386,alberto
1387,alberto
1388,alberto
1389,alberto
1390,alberto
1391,alberto
1392,alberto
1393,alberto
1394,alberto
1395,alberto
1396,alberto
1397,alberto
1398,alberto
1399,alberto
1400,alberto
1401,alberto
1402,alberto
1403,alberto
1404,alberto
1405,alberto
1406,alberto
1407,alberto
1408,alberto
1409,alberto
1410,alberto
1411,alberto
1412,alberto
1413,alberto
1414,alberto
1415,alberto
1416,alberto
1417,alberto
1418,alberto
1419,alberto
1420,alberto
1421,alberto
1422,alberto
1423,alberto
1424,alberto
1425,alberto
1426,alberto
1427,alberto
1428,alberto
1429,alberto
1430,alberto
1431,alberto
1432,alberto
1433,alberto
1434,alberto
1435,alberto
1436,alberto
1437,alberto
1438,alberto
1439,alberto
1440,alberto
1441,alberto
1442,alberto
1443,alberto
1444,alberto
1445,alberto
1446,alberto
1447,alberto
1448,alberto
1449,alberto
1450,alberto
1451,alberto
1452,alberto
1453,alberto
1454,alberto
1455,alberto
1456,alberto
1457,alberto
1458,alberto
1459,alberto
1460,alberto
1461,alberto
1462,alberto
1463,alberto
1464,alberto
1465,alberto
1466,alberto
1467,alberto
1468,alberto
1469,alberto
1470,alberto
1471,alberto
1472,alberto
1473,alberto
1474,alberto
1475,alberto
1476,alberto
1477,alberto
1478,alberto
1479,alberto
1480,alberto
1481,alberto
1482,alberto
1483,alberto
1484,alberto
1485,alberto
1486,alberto
1487,alberto
1488,alberto
1489,alberto
1490,alberto
1491,alberto
1492,alberto
1493,alberto
1494,alberto
1495,alberto
1496,alberto
1497,alberto
1498,alberto
1499,alberto
1500,alberto
1501,macri
1502,macri
1503,macri
1504,macri
1505,macri
1506,macri
1507,macri
1508,macri
1509,macri
1510,macri
1511,macri
1512,macri
1513,macri
1514,macri
1515,macri
1516,macri
1517,macri
1518,macri
1519,macri
1520,macri
1521,macri
1522,macri
1523,macri
1524,macri
1525,macri
1526,macri
1527,macri
1528,macri
1529,macri
1530,macri
1531,macri
1532,macri
1533,macri
1534,macri
1535,macri
1536,macri
1537,macri
1538,macri
1539,macri
1540,macri
1541,macri
1542,macri
1543,macri
1544,macri
1545,macri
1546,macri
1547,macri
1548,macri
1549,macri
1550,macri
1551,macri
1552,macri
1553,macri
1554,macri
1555,macri
1556,macri
1557,macri
1558,macri
1559,macri
1560,macri
1561,macri
1562,macri
1563,macri
1564,macri
1565,macri
1566,macri
1567,macri
1568,macri
1569,macri
1570,macri
1571,macri
1572,macri
1573,macri
1574,macri
1575,macri
1576,macri
1577,macri
1578,macri
1579,macri
1580,macri
1581,macri
1582,macri
1583,macri
1584,macri
1585,macri
1586,macri
1587,macri
1588,macri
1589,macri
1590,macri
1591,macri
1592,macri
1593,macri
1594,macri
1595,macri
1596,macri
1597,macri
1598,macri
1599,macri
1600,macri
1601,macri
1602,macri
1603,macri
1604,macri
1605,macri
1606,macri
1607,macri
1608,macri
1609,macri
1610,macri
1611,macri
1612,macri
1613,macri
1614,macri
1615,macri
1616,macri
1617,macri
1618,macri
1619,macri
1620,macri
1621,macri
1622,macri
1623,macri
1624,macri
1625,macri
1626,macri
1627,macri
1628,macri
1629,macri
1630,macri
1631,macri
1632,macri
1633,macri
1634,macri
1635,macri
1636,macri
1637,macri
1638,macri
1639,macri
1640,macri
1641,macri
1642,macri
1643,macri
1644,macri
1645,macri
1646,macri
1647,macri
1648,macri
1649,macri
1650,macri
1651,macri
1652,macri
1653,macri
1654,macri
1655,macri
1656,macri
1657,macri
1658,macri
1659,macri
1660,macri
1661,macri
1662,macri
1663,macri
1664,macri
1665,macri
1666,macri
1667,macri
1668,macri
1669,macri
1670,macri
1671,macri
1672,macri
1673,macri
1674,macri
1675,macri
1676,macri
1677,macri
1678,macri
1679,macri
1680,macri
1681,macri
1682,macri
1683,macri
1684,macri
1685,macri
1686,macri
1687,macri
1688,macri
1689,macri
1690,macri
1691,macri
1692,macri
1693,macri
1694,macri
1695,macri
1696,macri
1697,macri
1698,macri
1699,macri
1700,macri
1701,macri
1702,macri
1703,macri
1704,macri
1705,macri
1706,macri
1707,macri
1708,macri
1709,macri
1710,macri
1711,macri
1712,macri
1713,macri
1714,macri
1715,macri
1716,macri
1717,macri
1718,macri
1719,macri
1720,macri
1721,macri
1722,macri
1723,macri
1724,macri
1725,macri
1726,macri
1727,macri
1728,macri
1729,macri
1730,macri
1731,macri
1732,macri
1733,macri
1734,macri
1735,macri
1736,macri
1737,macri
1738,macri
1739,macri
1740,macri
1741,macri
1742,macri
1743,macri
1744,macri
1745,macri
1746,macri
1747,macri
1748,macri
1749,macri
1750,macri
1751,macri
1752,macri
1753,macri
1754,macri
1755,macri
1756,macri
1757,macri
1758,macri
1759,macri
1760,macri
1761,macri
1762,macri
1763,macri
1764,macri
1765,macri
1766,macri
1767,macri
1768,macri
1769,macri
1770,macri
1771,macri
1772,macri
1773,macri
1774,macri
1775,macri
1776,macri
1777,macri
1778,macri
1779,macri
1780,macri
1781,macri
1782,macri
1783,macri
1784,macri
1785,macri
1786,macri
1787,macri
1788,macri
1789,macri
1790,macri
1791,macri
1792,macri
1793,macri
1794,macri
1795,macri
1796,macri
1797,macri
1798,macri
1799,macri
1800,macri
1801,macri
1802,macri
1803,macri
1804,macri
1805,macri
1806,macri
1807,macri
1808,macri
1809,macri
1810,macri
1811,macri
1812,macri
1813,macri
1814,macri
1815,macri
1816,macri
1817,macri
1818,macri
1819,macri
1820,macri
1821,macri
1822,macri
1823,macri
1824,macri
1825,macri
1826,macri
1827,macri
1828,macri
1829,macri
1830,macri
1831,macri
1832,macri
1833,macri
1834,macri
1835,macri
1836,macri
1837,macri
1838,macri
1839,macri
1840,macri
1841,macri
1842,macri
1843,macri
1844,macri
1845,macri
1846,macri
1847,macri
1848,macri
1849,macri
1850,macri
1851,macri
1852,macri
1853,macri
1854,macri
1855,macri
1856,macri
1857,macri
1858,macri
1859,macri
1860,macri
1861,macri
1862,macri
1863,macri
1864,macri
1865,macri
1866,macri
